GKA,Goroka,,Papua New Guinea,0
MAG,Madang,,Papua New Guinea,0
HGU,Mount Hagen,,Papua New Guinea,0
LAE,Nadzab,,Papua New Guinea,0
POM,Port Moresby,,Papua New Guinea,0
WWK,Wewak,,Papua New Guinea,0
UAK,Narssarssuaq,,Greenland,0
GOH,Godthaab,,Greenland,0
SFJ,Sondrestrom,,Greenland,0
THU,Thule,,Greenland,0
AEY,Akureyri,,Iceland,0
EGS,Egilsstadir,,Iceland,0
HFN,Hofn,,Iceland,0
HZK,Husavik,,Iceland,0
IFJ,Isafjordur,,Iceland,0
KEF,Keflavik,,Iceland,0
PFJ,Patreksfjordur,,Iceland,0
RKV,Reykjavik,,Iceland,0
SIJ,Siglufjordur,,Iceland,0
VEY,Vestmannaeyjar,,Iceland,0
YAM,Sault Sainte Marie,,Canada,0
YAY,St. Anthony,,Canada,0
YAZ,Tofino,,Canada,0
YBB,Pelly Bay,,Canada,0
YBC,Baie Comeau,,Canada,0
YBG,Bagotville,,Canada,0
YBK,Baker Lake,,Canada,0
YBL,Campbell River,,Canada,0
YBR,Brandon,,Canada,0
YCB,Cambridge Bay,,Canada,0
YCD,Nanaimo,,Canada,0
YCG,Castlegar,,Canada,0
YCH,Chatham,,Canada,0
YCL,Charlo,,Canada,0
YCO,Coppermine,,Canada,0
YCT,Coronation,,Canada,0
YCW,Chilliwack,,Canada,0
YCY,Clyde River,,Canada,0
YZS,Coral Harbour,,Canada,0
YDA,Dawson,,Canada,0
YDB,Burwash,,Canada,0
YDF,Deer Lake,,Canada,0
YDL,Dease Lake,,Canada,0
YDN,Dauphin,,Canada,0
YDQ,Dawson Creek,,Canada,0
YEG,Edmonton,,Canada,0
YEK,Eskimo Point,,Canada,0
YEN,Estevan,,Canada,0
YET,Edson,,Canada,0
YEU,Eureka,,Canada,0
YEV,Inuvik,,Canada,0
YFB,Iqaluit,,Canada,0
YFC,Fredericton,,Canada,0
YFE,Forestville,,Canada,0
YFO,Flin Flon,,Canada,0
YFR,Fort Resolution,,Canada,0
YFS,Fort Simpson,,Canada,0
YGK,Kingston,,Canada,0
YGL,La Grande Riviere,,Canada,0
YGP,Gaspe,,Canada,0
YGQ,Geraldton,,Canada,0
YGR,Iles De La Madeleine,,Canada,0
YHB,Hudson Bay,,Canada,0
YHD,Dryden,,Canada,0
YHI,Holman Island,,Canada,0
YHK,Gjoa Haven,,Canada,0
YHM,Hamilton,,Canada,0
YHU,Montreal,,Canada,0
